FEN,Evaluation
3nrBk1/pbn5/1p3R2/2p5/P1N1N2p/2Pr4/1P4B1/4R1K1 b - - 0 30,215
3n1rk1/pbn5/1p3R2/2p5/P1N1N2p/2Pr4/1P4B1/4R1K1 w - - 0 31,340
3n1rk1/pbn5/1p4R1/2p5/P1N1N2p/2Pr4/1P4B1/4R1K1 b - - 1 31,308
3n1r1k/pbn5/1p4R1/2p5/P1N1N2p/2Pr4/1P4B1/4R1K1 w - - 2 32,400
3n1r1k/pbn5/1p4R1/2p1N3/P3N2p/2Pr4/1P4B1/4R1K1 b - - 3 32,402
3n1r1k/pbn5/1p4R1/2prN3/P3N2p/2P5/1P4B1/4R1K1 w - - 4 33,607
3n1r1k/pbn5/1p4R1/2prN1N1/P6p/2P5/1P4B1/4R1K1 b - - 5 33,340
3n3k/pbn5/1p4R1/2prNrN1/P6p/2P5/1P4B1/4R1K1 w - - 6 34,377
3n3k/pbn5/1p4R1/2pBNrN1/P6p/2P5/1P6/4R1K1 b - - 0 34,314
3n3k/p1n5/1p4R1/2pbNrN1/P6p/2P5/1P6/4R1K1 w - - 0 35,346
3n3k/p1n5/1p4R1/2pbNrN1/P1P4p/8/1P6/4R1K1 b - - 0 35,258
b2n3k/p1n5/1p4R1/2p1NrN1/P1P4p/8/1P6/4R1K1 w - - 1 36,849
b2n3k/p1n5/1p4R1/2p1NrN1/P1P4p/8/1P6/3R2K1 b - - 2 36,935
r1bqkb1r/pp3ppp/2np4/2pn4/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq - 1 7,34
r1bqk2r/pp2bppp/2np4/2pn4/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 2 8,78
r1bqk2r/pp2bppp/2np4/2pn4/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 3 8,26
r1bq1rk1/pp2bppp/2np4/2pn4/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w - - 4 9,106
r1bq1rk1/pp2bppp/2np4/2pn4/3P4/N1P2N2/PP2BPPP/R1BQ1RK1 b - - 5 9,-1
r2q1rk1/pp2bppp/2np4/2pn1b2/3P4/N1P2N2/PP2BPPP/R1BQ1RK1 w - - 6 10,22
r2q1rk1/pp2bppp/2np4/2pn1b2/2NP4/2P2N2/PP2BPPP/R1BQ1RK1 b - - 7 10,-23
r2q1rk1/pp3ppp/2np1b2/2pn1b2/2NP4/2P2N2/PP2BPPP/R1BQ1RK1 w - - 8 11,32
r2q1rk1/pp3ppp/2np1b2/2pn1b2/3P4/2P1NN2/PP2BPPP/R1BQ1RK1 b - - 9 11,7
r2q1rk1/pp3ppp/2np1b2/2p2b2/3P4/2P1nN2/PP2BPPP/R1BQ1RK1 w - - 0 12,75
r2q1rk1/pp3ppp/2np1b2/2p2b2/3P4/2P1BN2/PP2BPPP/R2Q1RK1 b - - 0 12,-6
r4rk1/pp3ppp/1qnp1b2/2p2b2/3P4/2P1BN2/PP2BPPP/R2Q1RK1 w - - 1 13,15
r4rk1/pp3ppp/1qnp1b2/2P2b2/8/2P1BN2/PP2BPPP/R2Q1RK1 b - - 0 13,-2
r4rk1/pp3ppp/1qn2b2/2p2b2/8/2P1BN2/PP2BPPP/R2Q1RK1 w - - 0 14,27
r4rk1/pp3ppp/1qn2b2/2p2b2/8/1QP1BN2/PP2BPPP/R4RK1 b - - 1 14,-7
r4rk1/pp3ppp/2n2b2/2p2b2/8/1qP1BN2/PP2BPPP/R4RK1 w - - 0 15,32
r4rk1/pp3ppp/2n2b2/2p2b2/8/1PP1BN2/1P2BPPP/R4RK1 b - - 0 15,0
r4rk1/p4ppp/1pn2b2/2p2b2/8/1PP1BN2/1P2BPPP/R4RK1 w - - 0 16,0
r4rk1/p4ppp/1pn2b2/2p2b2/8/1PP1B3/1P1NBPPP/R4RK1 b - - 1 16,0
r4rk1/p4ppp/1p3b2/2p1nb2/8/1PP1B3/1P1NBPPP/R4RK1 w - - 2 17,13
r4rk1/p4ppp/1p3b2/2p1nb2/8/1PP1B2P/1P1NBPP1/R4RK1 b - - 0 17,0
r3r1k1/p4ppp/1p3b2/2p1nb2/8/1PP1B2P/1P1NBPP1/R4RK1 w - - 1 18,16
r3r1k1/p4ppp/1p3b2/2p1nb2/8/1PP1B2P/RP1NBPP1/5RK1 b - - 2 18,-38
r3r1k1/p4pp1/1p3b1p/2p1nb2/8/1PP1B2P/RP1NBPP1/5RK1 w - - 0 19,0
r3r1k1/p4pp1/1p3b1p/2p1nb2/8/1PP1B2P/RP1NBPP1/R5K1 b - - 1 19,-13
r3r1k1/5pp1/1p3b1p/p1p1nb2/8/1PP1B2P/RP1NBPP1/R5K1 w - - 0 20,0
r3r1k1/5pp1/1p3b1p/p1p1nb2/1P6/2P1B2P/RP1NBPP1/R5K1 b - - 0 20,-13
r3r1k1/5pp1/1p3b1p/p3nb2/1p6/2P1B2P/RP1NBPP1/R5K1 w - - 0 21,-12
r3r1k1/5pp1/1p3b1p/p3nb2/1P6/4B2P/RP1NBPP1/R5K1 b - - 0 21,-13
r3r1k1/5pp1/1p3b1p/p3n3/1P6/3bB2P/RP1NBPP1/R5K1 w - - 1 22,13
r3r1k1/5pp1/1p3b1p/p3n3/1P6/3bB2P/RP1N1PP1/R4BK1 b - - 2 22,0
r3r1k1/5pp1/1p3b1p/p3n3/1P6/4B2P/RP1N1PP1/R4bK1 w - - 0 23,13
r3r1k1/5pp1/1p3b1p/p3n3/1P6/4B2P/RP1N1PP1/R4K2 b - - 0 23,13
r3r1k1/5pp1/1p3b1p/p7/1P6/3nB2P/RP1N1PP1/R4K2 w - - 1 24,13
r3r1k1/5pp1/1p3b1p/P7/8/3nB2P/RP1N1PP1/R4K2 b - - 0 24,0
r3r1k1/5pp1/5b1p/p7/8/3nB2P/RP1N1PP1/R4K2 w - - 0 25,13
r3r1k1/5pp1/5b1p/p7/2N5/3nB2P/RP3PP1/R4K2 b - - 1 25,13
1r2r1k1/5pp1/5b1p/p7/2N5/3nB2P/RP3PP1/R4K2 w - - 2 26,13
1r2r1k1/5pp1/5b1p/p7/2N5/3nB2P/RP3PP1/1R3K2 b - - 3 26,0
1r4k1/5pp1/5b1p/p7/2N1r3/3nB2P/RP3PP1/1R3K2 w - - 4 27,13
1r4k1/5pp1/5b1p/N7/4r3/3nB2P/RP3PP1/1R3K2 b - - 0 27,0
6k1/5pp1/5b1p/N7/4r3/3nB2P/Rr3PP1/1R3K2 w - - 0 28,13
6k1/5pp1/5b1p/N7/4r3/3nB2P/RR3PP1/5K2 b - - 0 28,0
6k1/5pp1/5b1p/N7/4r3/4B2P/Rn3PP1/5K2 w - - 0 29,5
6k1/5pp1/5b1p/N7/4r3/4B2P/Rn2KPP1/8 b - - 1 29,-13
6k1/5pp1/5b1p/N7/r7/4B2P/Rn2KPP1/8 w - - 2 30,13
6k1/5pp1/5b1p/N7/R7/4B2P/1n2KPP1/8 b - - 0 30,13
6k1/5pp1/5b1p/N7/n7/4B2P/4KPP1/8 w - - 0 31,13
6k1/5pp1/5b1p/N7/n7/3KB2P/5PP1/8 b - - 1 31,0
6k1/5pp1/5b1p/N7/8/2nKB2P/5PP1/8 w - - 2 32,13
6k1/5pp1/5b1p/N7/2K5/2n1B2P/5PP1/8 b - - 3 32,0
6k1/5pp1/5b1p/N7/2K1n3/4B2P/5PP1/8 w - - 4 33,13
6k1/1N3pp1/5b1p/8/2K1n3/4B2P/5PP1/8 b - - 5 33,0
6k1/1N3pp1/5b1p/6n1/2K5/4B2P/5PP1/8 w - - 6 34,22
6k1/1N3pp1/5b1p/3K2n1/8/4B2P/5PP1/8 b - - 7 34,13
6k1/1N3pp1/4nb1p/3K4/8/4B2P/5PP1/8 w - - 8 35,26
6k1/1N3pp1/3Knb1p/8/8/4B2P/5PP1/8 b - - 9 35,0
6k1/1N3pp1/3K1b1p/8/3n4/4B2P/5PP1/8 w - - 10 36,13
6k1/1N1K1pp1/5b1p/8/3n4/4B2P/5PP1/8 b - - 11 36,0
6k1/1N1K1pp1/5b1p/5n2/8/4B2P/5PP1/8 w - - 12 37,13
6k1/1N1K1pp1/5b1p/2B2n2/8/7P/5PP1/8 b - - 13 37,0
6k1/1N1K1pp1/7p/2B2n2/3b4/7P/5PP1/8 w - - 14 38,2
6k1/1N1K1pp1/7p/5n2/3B4/7P/5PP1/8 b - - 0 38,0
6k1/1N1K1pp1/7p/8/3n4/7P/5PP1/8 w - - 0 39,13
4K1k1/1N3pp1/7p/8/3n4/7P/5PP1/8 b - - 1 39,0
4K1k1/1N3pp1/4n2p/8/8/7P/5PP1/8 w - - 2 40,13
4K1k1/5pp1/3Nn2p/8/8/7P/5PP1/8 b - - 3 40,0
4K1k1/5pp1/3N3p/8/5n2/7P/5PP1/8 w - - 4 41,0
4K1k1/5Np1/7p/8/5n2/7P/5PP1/8 b - - 0 41,-13
4K1k1/5Np1/7p/8/8/7P/5Pn1/8 w - - 0 42,-11
4K1k1/6p1/7p/4N3/8/7P/5Pn1/8 b - - 1 42,0
4K1k1/8/7p/4N1p1/8/7P/5Pn1/8 w - - 0 43,0
4K1k1/8/7p/6p1/8/3N3P/5Pn1/8 b - - 1 43,0
4K3/6k1/7p/6p1/8/3N3P/5Pn1/8 w - - 2 44,0
8/4K1k1/7p/6p1/8/3N3P/5Pn1/8 b - - 3 44,0
8/4K3/6kp/6p1/8/3N3P/5Pn1/8 w - - 4 45,0
8/8/4K1kp/6p1/8/3N3P/5Pn1/8 b - - 5 45,0
8/8/4K2p/6pk/8/3N3P/5Pn1/8 w - - 6 46,0
8/8/7p/5Kpk/8/3N3P/5Pn1/8 b - - 7 46,-13
8/8/7p/5Kp1/7k/3N3P/5Pn1/8 w - - 8 47,0
8/8/6Kp/6p1/7k/3N3P/5Pn1/8 b - - 9 47,0
8/8/6K1/6pp/7k/3N3P/5Pn1/8 w - - 0 48,0
8/8/8/5Kpp/7k/3N3P/5Pn1/8 b - - 1 48,0
8/8/8/5K1p/6pk/3N3P/5Pn1/8 w - - 0 49,0
8/8/8/5K1p/6Pk/3N4/5Pn1/8 b - - 0 49,0
8/8/8/5K2/6pk/3N4/5Pn1/8 w - - 0 50,0
8/8/8/4NK2/6pk/8/5Pn1/8 b - - 1 50,0
8/8/8/4NK2/7k/6p1/5Pn1/8 w - - 0 51,0
8/8/8/5K2/7k/5Np1/5Pn1/8 b - - 1 51,0
8/8/8/5K2/8/5Npk/5Pn1/8 w - - 2 52,0
8/8/8/5K2/8/5NPk/6n1/8 b - - 0 52,0
8/8/8/5K2/8/5Nk1/6n1/8 w - - 0 53,0
r4rk1/p1qpbppp/np2p3/4P3/3P4/2P2N2/P2B1PPP/R2Q1RK1 w - - 2 13,32
r4rk1/p1qpbppp/np2p3/4P3/3P4/2P2N2/P2BQPPP/R4RK1 b - - 3 13,10
rn3rk1/p1qpbppp/1p2p3/4P3/3P4/2P2N2/P2BQPPP/R4RK1 w - - 4 14,26
rn3rk1/p1qpbppp/1p2p3/4P3/3P4/2P2N2/P2BQPPP/2R2RK1 b - - 5 14,-7
rn3rk1/p1q1bppp/1p1pp3/4P3/3P4/2P2N2/P2BQPPP/2R2RK1 w - - 0 15,19
rn3rk1/p1q1bppp/1p1Pp3/8/3P4/2P2N2/P2BQPPP/2R2RK1 b - - 0 15,-25
rn3rk1/p1q2ppp/1p1bp3/8/3P4/2P2N2/P2BQPPP/2R2RK1 w - - 0 16,33
rn3rk1/p1q2ppp/1p1bp3/8/3PQ3/2P2N2/P2B1PPP/2R2RK1 b - - 1 16,-53
r4rk1/p1qn1ppp/1p1bp3/8/3PQ3/2P2N2/P2B1PPP/2R2RK1 w - - 2 17,-13
r4rk1/p1qn1ppp/1p1bp3/8/2PPQ3/5N2/P2B1PPP/2R2RK1 b - - 0 17,-78
r4rk1/p1q2ppp/1p1bpn2/8/2PPQ3/5N2/P2B1PPP/2R2RK1 w - - 1 18,16
r4rk1/p1q2ppp/1p1bpn2/8/2PP4/5N2/P2BQPPP/2R2RK1 b - - 2 18,-52
r4rk1/p1q2ppp/1p2pn2/8/2PP1b2/5N2/P2BQPPP/2R2RK1 w - - 3 19,1
r4rk1/p1q2ppp/1p2pn2/8/2PP1b2/4BN2/P3QPPP/2R2RK1 b - - 4 19,-30
2r2rk1/p1q2ppp/1p2pn2/8/2PP1b2/4BN2/P3QPPP/2R2RK1 w - - 5 20,10
2r2rk1/p1q2ppp/1p2pn2/8/2PP1b2/4BNP1/P3QP1P/2R2RK1 b - - 0 20,-46
2r2rk1/p1q2ppp/1p1bpn2/8/2PP4/4BNP1/P3QP1P/2R2RK1 w - - 1 21,0
2r2rk1/p1q2ppp/1p1bpn2/8/2PP4/4BNP1/P3QP1P/2RR2K1 b - - 2 21,-58
2r2rk1/pq3ppp/1p1bpn2/8/2PP4/4BNP1/P3QP1P/2RR2K1 w - - 3 22,0
2r2rk1/pq3ppp/1p1bpn2/8/2PP4/4BNP1/P1R1QP1P/3R2K1 b - - 4 22,-58
5rk1/pqr2ppp/1p1bpn2/8/2PP4/4BNP1/P1R1QP1P/3R2K1 w - - 5 23,0
5rk1/pqr2ppp/1p1bpn2/2P5/3P4/4BNP1/P1R1QP1P/3R2K1 b - - 0 23,-54
5rk1/pqr2ppp/3bpn2/2p5/3P4/4BNP1/P1R1QP1P/3R2K1 w - - 0 24,0
5rk1/pqr2ppp/3bpn2/2P5/8/4BNP1/P1R1QP1P/3R2K1 b - - 0 24,-49
5rk1/pqr1bppp/4pn2/2P5/8/4BNP1/P1R1QP1P/3R2K1 w - - 1 25,0
5rk1/pqr1bppp/4pn2/2P5/3N4/4B1P1/P1R1QP1P/3R2K1 b - - 2 25,-39
5rk1/pq2bppp/4pn2/2r5/3N4/4B1P1/P1R1QP1P/3R2K1 w - - 0 26,-23
5rk1/pq2bppp/4pn2/2R5/3N4/4B1P1/P3QP1P/3R2K1 b - - 0 26,-51
5rk1/pq3ppp/4pn2/2b5/3N4/4B1P1/P3QP1P/3R2K1 w - - 0 27,-36
5rk1/pq3ppp/4Nn2/2b5/8/4B1P1/P3QP1P/3R2K1 b - - 0 27,-43
5rk1/pq3ppp/4Nn2/8/8/4b1P1/P3QP1P/3R2K1 w - - 0 28,-14
5Nk1/pq3ppp/5n2/8/8/4b1P1/P3QP1P/3R2K1 b - - 0 28,-52
5Nk1/pq3ppp/5n2/2b5/8/6P1/P3QP1P/3R2K1 w - - 1 29,23
6k1/pq3ppp/4Nn2/2b5/8/6P1/P3QP1P/3R2K1 b - - 2 29,8
6k1/pq4pp/4pn2/2b5/8/6P1/P3QP1P/3R2K1 w - - 0 30,84
6k1/pq4pp/4Qn2/2b5/8/6P1/P4P1P/3R2K1 b - - 0 30,0
6k1/p4qpp/4Qn2/2b5/8/6P1/P4P1P/3R2K1 w - - 1 31,43
3R2k1/p4qpp/4Qn2/2b5/8/6P1/P4P1P/6K1 b - - 2 31,0
3R1bk1/p4qpp/4Qn2/8/8/6P1/P4P1P/6K1 w - - 3 32,54
3R1bk1/p4Qpp/5n2/8/8/6P1/P4P1P/6K1 b - - 0 32,0
3R1b2/p4kpp/5n2/8/8/6P1/P4P1P/6K1 w - - 0 33,0
2R2b2/p4kpp/5n2/8/8/6P1/P4P1P/6K1 b - - 1 33,0
2R2b2/5kpp/5n2/p7/8/6P1/P4P1P/6K1 w - - 0 34,0
R4b2/5kpp/5n2/p7/8/6P1/P4P1P/6K1 b - - 1 34,0
R7/5kpp/5n2/p7/1b6/6P1/P4P1P/6K1 w - - 2 35,0
8/R4kpp/5n2/p7/1b6/6P1/P4P1P/6K1 b - - 3 35,0
8/R5pp/5nk1/p7/1b6/6P1/P4P1P/6K1 w - - 4 36,13
8/R5pp/5nk1/p7/1b6/P5P1/5P1P/6K1 b - - 0 36,-4
8/R5pp/5nk1/p7/8/b5P1/5P1P/6K1 w - - 0 37,0
8/6pp/5nk1/R7/8/b5P1/5P1P/6K1 b - - 0 37,-13
r2r2k1/pQ2bp1p/4p1pq/8/8/8/PP1N1PPP/2R2RK1 w - - 0 21,-9
r2r2k1/pQ2bp1p/4p1pq/8/4N3/8/PP3PPP/2R2RK1 b - - 1 21,0
r2r1qk1/pQ2bp1p/4p1p1/8/4N3/8/PP3PPP/2R2RK1 w - - 2 22,0
r2r1qk1/pQR1bp1p/4p1p1/8/4N3/8/PP3PPP/5RK1 b - - 3 22,-45
rr3qk1/pQR1bp1p/4p1p1/8/4N3/8/PP3PPP/5RK1 w - - 4 23,0
rr3qk1/p1R1bp1p/2Q1p1p1/8/4N3/8/PP3PPP/5RK1 b - - 5 23,-35
r1r2qk1/p1R1bp1p/2Q1p1p1/8/4N3/8/PP3PPP/5RK1 w - - 6 24,0
r1r2qk1/p1R1bp1p/2Q1p1p1/8/4N3/8/PP3PPP/3R2K1 b - - 7 24,-28
r4qk1/p1r1bp1p/2Q1p1p1/8/4N3/8/PP3PPP/3R2K1 w - - 0 25,20
r4qk1/p1Q1bp1p/4p1p1/8/4N3/8/PP3PPP/3R2K1 b - - 0 25,0
3r1qk1/p1Q1bp1p/4p1p1/8/4N3/8/PP3PPP/3R2K1 w - - 1 26,0
3R1qk1/p1Q1bp1p/4p1p1/8/4N3/8/PP3PPP/6K1 b - - 0 26,-43
3q2k1/p1Q1bp1p/4p1p1/8/4N3/8/PP3PPP/6K1 w - - 0 27,0
3Q2k1/p3bp1p/4p1p1/8/4N3/8/PP3PPP/6K1 b - - 0 27,-35
3b2k1/p4p1p/4p1p1/8/4N3/8/PP3PPP/6K1 w - - 0 28,0
3b2k1/p4p1p/4p1p1/8/1P2N3/8/P4PPP/6K1 b - - 0 28,-67
3b2k1/p6p/4p1p1/5p2/1P2N3/8/P4PPP/6K1 w - - 0 29,13
3b2k1/p6p/4p1p1/5p2/1P6/8/P2N1PPP/6K1 b - - 1 29,-94
3b2k1/p6p/6p1/4pp2/1P6/8/P2N1PPP/6K1 w - - 0 30,-49
3b2k1/p6p/6p1/4pp2/1PN5/8/P4PPP/6K1 b - - 1 30,-98
6k1/p1b4p/6p1/4pp2/1PN5/8/P4PPP/6K1 w - - 2 31,-54
6k1/p1b4p/6p1/4pp2/PPN5/8/5PPP/6K1 b - - 0 31,-111
8/p1b2k1p/6p1/4pp2/PPN5/8/5PPP/6K1 w - - 1 32,-82
8/p1b2k1p/6p1/1P2pp2/P1N5/8/5PPP/6K1 b - - 0 32,-105
8/p1b4p/4k1p1/1P2pp2/P1N5/8/5PPP/6K1 w - - 1 33,-84
8/p1b4p/4k1p1/PP2pp2/2N5/8/5PPP/6K1 b - - 0 33,-115
1b6/p6p/4k1p1/PP2pp2/2N5/8/5PPP/6K1 w - - 1 34,-31
1b6/p6p/4k1p1/PP2pp2/8/4N3/5PPP/6K1 b - - 2 34,-93
1b6/p6p/3k2p1/PP2pp2/8/4N3/5PPP/6K1 w - - 3 35,-77
1b6/p6p/3k2p1/PP2pp2/6P1/4N3/5P1P/6K1 b - - 0 35,-180
1b6/p6p/3k2p1/PP2p3/5pP1/4N3/5P1P/6K1 w - - 0 36,-162
1b6/p6p/3k2p1/PP2p3/5pP1/8/5P1P/3N2K1 b - - 1 36,-157
1b6/p6p/6p1/PPk1p3/5pP1/8/5P1P/3N2K1 w - - 2 37,-230
1b6/p6p/1P4p1/P1k1p3/5pP1/8/5P1P/3N2K1 b - - 0 37,-190
1b6/7p/pP4p1/P1k1p3/5pP1/8/5P1P/3N2K1 w - - 0 38,-246
1b6/7p/pP4p1/P1k1p3/5pP1/2N5/5P1P/6K1 b - - 1 38,-280
1b6/7p/pP4p1/P3p3/1k3pP1/2N5/5P1P/6K1 w - - 2 39,-278
1b6/7p/pP4p1/P2Np3/1k3pP1/8/5P1P/6K1 b - - 3 39,-316
1b6/7p/pP4p1/k2Np3/5pP1/8/5P1P/6K1 w - - 0 40,-273
rn2k2r/pp1qbppp/1n1pp3/4P3/3P4/5N2/PP3PPP/RNBQ1RK1 w kq - 2 11,22
rn2k2r/pp1qbppp/1n1pp3/4P3/3P4/2N2N2/PP3PPP/R1BQ1RK1 b kq - 3 11,-58
rn3rk1/pp1qbppp/1n1pp3/4P3/3P4/2N2N2/PP3PPP/R1BQ1RK1 w - - 4 12,-7
rn3rk1/pp1qbppp/1n1pp3/4P3/3P1B2/2N2N2/PP3PPP/R2Q1RK1 b - - 5 12,-71
r4rk1/pp1qbppp/1nnpp3/4P3/3P1B2/2N2N2/PP3PPP/R2Q1RK1 w - - 6 13,0
r4rk1/pp1qbppp/1nnpp3/4P3/3P1B2/2N2N2/PP3PPP/2RQ1RK1 b - - 7 13,-70
r4rk1/pp1qbppp/1nn1p3/3pP3/3P1B2/2N2N2/PP3PPP/2RQ1RK1 w - - 0 14,25
r4rk1/pp1qbppp/1nn1p3/3pP1B1/3P4/2N2N2/PP3PPP/2RQ1RK1 b - - 1 14,-36
r4rk1/1p1qbppp/pnn1p3/3pP1B1/3P4/2N2N2/PP3PPP/2RQ1RK1 w - - 0 15,34
r4rk1/1p1qBppp/pnn1p3/3pP3/3P4/2N2N2/PP3PPP/2RQ1RK1 b - - 0 15,-23
r4rk1/1p2qppp/pnn1p3/3pP3/3P4/2N2N2/PP3PPP/2RQ1RK1 w - - 0 16,32
r4rk1/1p2qppp/pnn1p3/3pP3/N2P4/5N2/PP3PPP/2RQ1RK1 b - - 1 16,-47
r4rk1/1p2qppp/p1n1p3/3pP3/n2P4/5N2/PP3PPP/2RQ1RK1 w - - 0 17,7
r4rk1/1p2qppp/p1n1p3/3pP3/Q2P4/5N2/PP3PPP/2R2RK1 b - - 0 17,-40
r1r3k1/1p2qppp/p1n1p3/3pP3/Q2P4/5N2/PP3PPP/2R2RK1 w - - 1 18,26
r1r3k1/1p2qppp/p1n1p3/2RpP3/Q2P4/5N2/PP3PPP/5RK1 b - - 2 18,-23
r1r3k1/np2qppp/p3p3/2RpP3/Q2P4/5N2/PP3PPP/5RK1 w - - 3 19,41
r1r3k1/np2qppp/p3p3/2RpP3/Q2P4/5N2/PP3PPP/2R3K1 b - - 4 19,-24
r5k1/np2qppp/p1r1p3/2RpP3/Q2P4/5N2/PP3PPP/2R3K1 w - - 5 20,25
r5k1/np2qppp/p1r1p3/2RpP3/QP1P4/5N2/P4PPP/2R3K1 b - - 0 20,-12
2r3k1/np2qppp/p1r1p3/2RpP3/QP1P4/5N2/P4PPP/2R3K1 w - - 1 21,61
2r3k1/np2qppp/p1r1p3/2RpP3/1P1P4/1Q3N2/P4PPP/2R3K1 b - - 2 21,-45
2r3k1/np2qpp1/p1r1p2p/2RpP3/1P1P4/1Q3N2/P4PPP/2R3K1 w - - 0 22,0
2r3k1/np2qpp1/p1r1p2p/2RpP3/PP1P4/1Q3N2/5PPP/2R3K1 b - - 0 22,-115
2r3k1/np1q1pp1/p1r1p2p/2RpP3/PP1P4/1Q3N2/5PPP/2R3K1 w - - 1 23,0
2r3k1/np1q1pp1/p1r1p2p/1PRpP3/P2P4/1Q3N2/5PPP/2R3K1 b - - 0 23,-244
2r3k1/np1q1pp1/2r1p2p/1pRpP3/P2P4/1Q3N2/5PPP/2R3K1 w - - 0 24,-215
2r3k1/np1q1pp1/2R1p2p/1p1pP3/P2P4/1Q3N2/5PPP/2R3K1 b - - 0 24,-262
6k1/np1q1pp1/2r1p2p/1p1pP3/P2P4/1Q3N2/5PPP/2R3K1 w - - 0 25,-237
6k1/np1q1pp1/2r1p2p/1pRpP3/P2P4/1Q3N2/5PPP/6K1 b - - 1 25,-684
6k1/np1q1pp1/4p2p/1prpP3/P2P4/1Q3N2/5PPP/6K1 w - - 0 26,-651
6k1/np1q1pp1/4p2p/1pPpP3/P7/1Q3N2/5PPP/6K1 b - - 0 26,-660
6k1/np1q1pp1/4p2p/2PpP3/p7/1Q3N2/5PPP/6K1 w - - 0 27,-665
6k1/np1q1pp1/4p2p/2PpP3/pQ6/5N2/5PPP/6K1 b - - 1 27,-747
6k1/np3pp1/4p2p/1qPpP3/pQ6/5N2/5PPP/6K1 w - - 2 28,-715
6k1/np3pp1/4p2p/1QPpP3/p7/5N2/5PPP/6K1 b - - 0 28,-732
6k1/1p3pp1/4p2p/1nPpP3/p7/5N2/5PPP/6K1 w - - 0 29,-704
6k1/1p3pp1/4p2p/1nPpP3/p7/8/3N1PPP/6K1 b - - 1 29,-796
5k2/1p3pp1/4p2p/1nPpP3/p7/8/3N1PPP/6K1 w - - 2 30,-776
5k2/1p3pp1/4p2p/1nPpP3/p7/8/3N1PPP/5K2 b - - 3 30,-803
4k3/1p3pp1/4p2p/1nPpP3/p7/8/3N1PPP/5K2 w - - 4 31,-797
4k3/1p3pp1/4p2p/1nPpP3/p7/8/3NKPPP/8 b - - 5 31,-825
8/1p1k1pp1/4p2p/1nPpP3/p7/8/3NKPPP/8 w - - 6 32,-849
8/1p1k1pp1/4p2p/1nPpP3/p7/3K4/3N1PPP/8 b - - 7 32,-861
8/1p3pp1/2k1p2p/1nPpP3/p7/3K4/3N1PPP/8 w - - 8 33,-857
8/1p3pp1/2k1p2p/1nPpP3/p5P1/3K4/3N1P1P/8 b - - 0 33,-904
8/1p3pp1/4p2p/1nkpP3/p5P1/3K4/3N1P1P/8 w - - 0 34,-902
8/1p3pp1/4p2p/1nkpP3/p4PP1/3K4/3N3P/8 b - - 0 34,-907
8/1p3pp1/4p2p/2kpP3/p2n1PP1/3K4/3N3P/8 w - - 1 35,-940
8/1p3pp1/4p2p/2kpP3/p2n1PPP/3K4/3N4/8 b - - 0 35,-1033
8/1p3p2/4p1pp/2kpP3/p2n1PPP/3K4/3N4/8 w - - 0 36,-985
8/1p3p2/4p1pp/2kpP2P/p2n1PP1/3K4/3N4/8 b - - 0 36,-1376
8/1p3p2/4p2p/2kpP2p/p2n1PP1/3K4/3N4/8 w - - 0 37,-1733
8/1p3p2/4p2p/2kpP2P/p2n1P2/3K4/3N4/8 b - - 0 37,-1573
8/5p2/4p2p/1pkpP2P/p2n1P2/3K4/3N4/8 w - - 0 38,-6238
8/5p2/4p2p/1pkpP2P/p2n1P2/3K4/8/1N6 b - - 1 38,-6052
8/5p2/4p2p/2kpP2P/pp1n1P2/3K4/8/1N6 w - - 0 39,-6338
8/5p2/4p2p/2kpP2P/pp1n1P2/3K4/3N4/8 b - - 1 39,-10
8/5p2/4p2p/2kpP2P/1p1n1P2/p2K4/3N4/8 w - - 0 40,-9
r1b1kb1r/ppq2p1p/2n1p1p1/3nP3/8/P2B1N2/1P3PPP/RNBQR1K1 b kq - 1 11,20
r1b1k2r/ppq2pbp/2n1p1p1/3nP3/8/P2B1N2/1P3PPP/RNBQR1K1 w kq - 2 12,54
r1b1k2r/ppq2pbp/2n1p1p1/3nP3/8/P2B1N2/1P2QPPP/RNB1R1K1 b kq - 3 12,0
r1b2rk1/ppq2pbp/2n1p1p1/3nP3/8/P2B1N2/1P2QPPP/RNB1R1K1 w - - 4 13,63
r1b2rk1/ppq2pbp/2n1p1p1/3nP3/4Q3/P2B1N2/1P3PPP/RNB1R1K1 b - - 5 13,-69
r1b2rk1/ppq3bp/2n1p1p1/3nPp2/4Q3/P2B1N2/1P3PPP/RNB1R1K1 w - f6 0 14,49
r1b2rk1/ppq3bp/2n1pPp1/3n4/4Q3/P2B1N2/1P3PPP/RNB1R1K1 b - - 0 14,33
r1b2rk1/ppq3bp/2n1pnp1/8/4Q3/P2B1N2/1P3PPP/RNB1R1K1 w - - 0 15,61
r1b2rk1/ppq3bp/2n1pnp1/8/2Q5/P2B1N2/1P3PPP/RNB1R1K1 b - - 1 15,55
r1b2r1k/ppq3bp/2n1pnp1/8/2Q5/P2B1N2/1P3PPP/RNB1R1K1 w - - 2 16,146
r1b2r1k/ppq3bp/2n1pnp1/8/2Q2B2/P2B1N2/1P3PPP/RN2R1K1 b - - 3 16,84
